epoch,train_dice_1,train_dice_2,train_dice_3,train_unlab_dice_1,train_unlab_dice_2,train_unlab_dice_3,val_dice_1,val_dice_2,val_dice_3,val_batch_dice_1,val_batch_dice_2,val_batch_dice_3
0,0.1277,0.0293,0.0274,0.0000,0.0000,0.0000,0.1842,0.0307,0.0482,0.0000,0.0000,0.0000
1,0.1589,0.0337,0.0402,0.0000,0.0000,0.0000,0.1842,0.0307,0.0439,0.0000,0.0000,0.0000
2,0.1826,0.0425,0.0463,0.0000,0.0000,0.0000,0.1886,0.0307,0.0441,0.0000,0.0000,0.0003
3,0.1675,0.0337,0.0303,0.0000,0.0000,0.0000,0.1755,0.0307,0.0408,0.0001,0.0000,0.0016
4,0.1353,0.0425,0.0347,0.0000,0.0000,0.0000,0.1111,0.0307,0.0319,0.0018,0.0000,0.0015
5,0.1417,0.0337,0.0174,0.0000,0.0000,0.0000,0.1238,0.0307,0.0180,0.0013,0.0000,0.0006
6,0.1292,0.0412,0.0312,0.0000,0.0000,0.0000,0.1448,0.0307,0.0246,0.0001,0.0000,0.0034
7,0.1178,0.0475,0.0479,0.0000,0.0000,0.0000,0.1536,0.0307,0.0415,0.0001,0.0000,0.0184
8,0.0951,0.0425,0.0574,0.0000,0.0000,0.0000,0.2658,0.0307,0.0710,0.2973,0.0000,0.0449
9,0.3219,0.0323,0.0815,0.0000,0.0000,0.0000,0.3129,0.0273,0.0856,0.3742,0.0011,0.0763
10,0.3350,0.0597,0.1226,0.0000,0.0000,0.0000,0.2807,0.0980,0.1077,0.3616,0.0884,0.0917
11,0.3403,0.1964,0.1338,0.0000,0.0000,0.0000,0.3249,0.2814,0.1428,0.4505,0.3035,0.1381
12,0.3961,0.4793,0.3102,0.0000,0.0000,0.0000,0.4375,0.5500,0.4741,0.5666,0.5950,0.5012
13,0.5408,0.6010,0.5305,0.0000,0.0000,0.0000,0.5008,0.6199,0.6522,0.5978,0.6619,0.7109
