epoch,train_dice_1,train_dice_2,train_dice_3,train_unlab_dice_1,train_unlab_dice_2,train_unlab_dice_3,val_dice_1,val_dice_2,val_dice_3,val_batch_dice_1,val_batch_dice_2,val_batch_dice_3
0,0.0920,0.0152,0.0613,0.0000,0.0000,0.0000,0.1886,0.0307,0.0439,0.0000,0.0000,0.0001
1,0.1575,0.0112,0.1153,0.0000,0.0000,0.0000,0.1842,0.0307,0.2243,0.0000,0.0000,0.2375
2,0.1201,0.0101,0.4424,0.0000,0.0000,0.0000,0.1886,0.0307,0.3729,0.0000,0.0000,0.3986
3,0.1263,0.0091,0.5174,0.0000,0.0000,0.0000,0.1886,0.0307,0.4396,0.0000,0.0000,0.4959
4,0.1301,0.0128,0.6522,0.0000,0.0000,0.0000,0.1755,0.0307,0.6091,0.0000,0.0000,0.6748
5,0.1212,0.0181,0.7721,0.0000,0.0000,0.0000,0.1345,0.0294,0.5807,0.1156,0.0178,0.6552
6,0.4111,0.1639,0.7864,0.0000,0.0000,0.0000,0.3412,0.2816,0.6191,0.3702,0.2972,0.6850
7,0.6014,0.5695,0.8550,0.0000,0.0000,0.0000,0.3062,0.4739,0.6629,0.3980,0.5061,0.7085
8,0.7011,0.7399,0.9061,0.0000,0.0000,0.0000,0.5084,0.5527,0.7496,0.5897,0.5893,0.8153
9,0.7126,0.7724,0.9129,0.0000,0.0000,0.0000,0.4553,0.6283,0.7923,0.5305,0.6708,0.8449
10,0.7467,0.7972,0.9223,0.0000,0.0000,0.0000,0.5577,0.6116,0.7614,0.7052,0.6494,0.8141
11,0.7620,0.8033,0.9220,0.0000,0.0000,0.0000,0.5414,0.6192,0.7626,0.6945,0.6579,0.8232
12,0.7909,0.8107,0.9253,0.0000,0.0000,0.0000,0.5443,0.6218,0.7902,0.6776,0.6676,0.8444
13,0.7948,0.8061,0.9223,0.0000,0.0000,0.0000,0.4962,0.5767,0.7527,0.6589,0.6139,0.8127
14,0.7569,0.8005,0.9230,0.0000,0.0000,0.0000,0.5724,0.6327,0.7280,0.6973,0.6821,0.8162
15,0.8113,0.8326,0.9361,0.0000,0.0000,0.0000,0.5664,0.6755,0.7851,0.6469,0.7215,0.8496
16,0.8571,0.8484,0.9379,0.0000,0.0000,0.0000,0.5711,0.6467,0.7902,0.6809,0.6900,0.8490
17,0.7618,0.7912,0.9149,0.0000,0.0000,0.0000,0.4770,0.5986,0.7163,0.5993,0.6328,0.7809
18,0.8153,0.8315,0.9348,0.0000,0.0000,0.0000,0.6140,0.6791,0.7996,0.7150,0.7356,0.8624
19,0.8381,0.8472,0.9415,0.0000,0.0000,0.0000,0.5923,0.6743,0.8062,0.7101,0.7302,0.8693
20,0.8818,0.8655,0.9472,0.0000,0.0000,0.0000,0.6094,0.6714,0.8047,0.7125,0.7259,0.8675
