epoch,train_dice_1,train_dice_2,train_dice_3,train_unlab_dice_1,train_unlab_dice_2,train_unlab_dice_3,val_dice_1,val_dice_2,val_dice_3,val_batch_dice_1,val_batch_dice_2,val_batch_dice_3
0,0.0920,0.0152,0.0613,0.0945,0.0240,0.0450,0.1886,0.0307,0.0396,0.0000,0.0000,0.0001
1,0.1575,0.0112,0.1153,0.1812,0.0413,0.0962,0.1842,0.0307,0.2356,0.0000,0.0000,0.2562
2,0.1201,0.0101,0.4424,0.1538,0.0382,0.2727,0.1843,0.0269,0.3499,0.0001,0.0007,0.3873
3,0.1263,0.0091,0.5174,0.1625,0.0341,0.3102,0.1843,0.0223,0.4321,0.0001,0.0003,0.4716
4,0.1301,0.0128,0.6522,0.1513,0.0427,0.3902,0.1755,0.0307,0.5856,0.0000,0.0000,0.6385
5,0.1181,0.0150,0.7719,0.1184,0.0270,0.4759,0.0941,0.0250,0.5818,0.1100,0.0178,0.6570
6,0.4078,0.1664,0.7868,0.2714,0.0910,0.5061,0.2749,0.1363,0.5182,0.3459,0.1490,0.5900
7,0.5990,0.5623,0.8543,0.3926,0.3419,0.5661,0.3487,0.4958,0.6726,0.5456,0.5248,0.7308
8,0.7005,0.7453,0.9062,0.4727,0.4851,0.6300,0.5350,0.5158,0.7077,0.6434,0.5552,0.7757
9,0.7262,0.7640,0.9101,0.4675,0.4919,0.6146,0.5243,0.5879,0.7559,0.5914,0.6226,0.8063
10,0.7476,0.7911,0.9181,0.4870,0.5413,0.6424,0.4630,0.4963,0.6754,0.5741,0.5506,0.7484
11,0.7353,0.7833,0.9132,0.4862,0.5539,0.6711,0.5589,0.6067,0.7518,0.6692,0.6399,0.8038
12,0.7726,0.8026,0.9251,0.5095,0.5594,0.6569,0.5821,0.6309,0.7875,0.7172,0.6766,0.8308
13,0.7715,0.8122,0.9258,0.5135,0.5805,0.6862,0.5173,0.6212,0.7684,0.6591,0.6624,0.8285
14,0.7919,0.8175,0.9289,0.5100,0.5831,0.6840,0.5389,0.6673,0.7790,0.6988,0.7096,0.8499
15,0.8384,0.8306,0.9321,0.5296,0.5977,0.6939,0.6028,0.6802,0.7838,0.6933,0.7322,0.8523
16,0.8355,0.8423,0.9363,0.5360,0.5929,0.6904,0.5831,0.5905,0.7575,0.7005,0.6361,0.8119
