epoch,train_dice_1,train_dice_2,train_dice_3,train_unlab_dice_1,train_unlab_dice_2,train_unlab_dice_3,val_dice_1,val_dice_2,val_dice_3,val_batch_dice_1,val_batch_dice_2,val_batch_dice_3
0,0.1190,0.0089,0.0139,0.0000,0.0000,0.0000,0.1886,0.0307,0.0482,0.0000,0.0000,0.0000
1,0.1608,0.0117,0.0142,0.0000,0.0000,0.0000,0.1886,0.0307,0.0482,0.0000,0.0000,0.0000
2,0.1508,0.0117,0.0142,0.0000,0.0000,0.0000,0.1886,0.0307,0.0482,0.0000,0.0000,0.0000
3,0.1517,0.0108,0.0133,0.0000,0.0000,0.0000,0.1886,0.0307,0.0482,0.0000,0.0000,0.0000
4,0.1500,0.0108,0.1526,0.0000,0.0000,0.0000,0.1886,0.0307,0.4978,0.0000,0.0000,0.5175
5,0.1583,0.0117,0.6708,0.0000,0.0000,0.0000,0.1886,0.0307,0.5975,0.0000,0.0000,0.6404
6,0.1533,0.0117,0.6750,0.0000,0.0000,0.0000,0.1886,0.0307,0.5152,0.0000,0.0000,0.5425
7,0.1459,0.0119,0.6858,0.0000,0.0000,0.0000,0.1712,0.0459,0.4778,0.0001,0.0259,0.4919
8,0.1477,0.2498,0.7372,0.0000,0.0000,0.0000,0.1886,0.4567,0.6039,0.0000,0.4935,0.6382
9,0.1518,0.6985,0.7729,0.0000,0.0000,0.0000,0.1713,0.5881,0.6015,0.0003,0.6477,0.6302
10,0.1085,0.7892,0.7860,0.0000,0.0000,0.0000,0.1719,0.6247,0.6737,0.1959,0.6915,0.7174
11,0.6612,0.7983,0.9008,0.0000,0.0000,0.0000,0.4435,0.5054,0.5847,0.5117,0.5720,0.6825
12,0.7689,0.8151,0.9173,0.0000,0.0000,0.0000,0.5409,0.6679,0.7489,0.6545,0.7150,0.8091
13,0.8029,0.8255,0.9226,0.0000,0.0000,0.0000,0.5306,0.6337,0.7181,0.6702,0.6780,0.7784
14,0.8373,0.8382,0.9280,0.0000,0.0000,0.0000,0.5639,0.6374,0.7213,0.6643,0.6960,0.7905
