epoch,train_dice_1,train_dice_2,train_dice_3,train_unlab_dice_1,train_unlab_dice_2,train_unlab_dice_3,val_dice_1,val_dice_2,val_dice_3,val_batch_dice_1,val_batch_dice_2,val_batch_dice_3
0,0.1210,0.0098,0.0138,0.1393,0.0405,0.0487,0.1886,0.0307,0.0482,0.0000,0.0000,0.0000
1,0.1608,0.0117,0.0142,0.1758,0.0450,0.0575,0.1886,0.0307,0.0482,0.0000,0.0000,0.0000
2,0.1508,0.0117,0.0142,0.1825,0.0475,0.0592,0.1886,0.0307,0.0482,0.0000,0.0000,0.0000
3,0.1517,0.0108,0.0133,0.1792,0.0458,0.0575,0.1886,0.0307,0.0482,0.0000,0.0000,0.0000
4,0.1500,0.0108,0.1598,0.1900,0.0483,0.1397,0.1886,0.0307,0.5302,0.0000,0.0000,0.5476
5,0.1583,0.0117,0.6697,0.1850,0.0450,0.4163,0.1886,0.0307,0.5599,0.0000,0.0000,0.5745
6,0.1508,0.0117,0.6832,0.1792,0.0450,0.4142,0.1842,0.0307,0.5046,0.0000,0.0000,0.5292
7,0.1575,0.0137,0.6840,0.1842,0.0380,0.4128,0.1886,0.0449,0.5841,0.0000,0.0297,0.6082
8,0.1517,0.3163,0.7489,0.1759,0.2312,0.4735,0.1886,0.5045,0.5764,0.0000,0.5464,0.5928
9,0.1402,0.6901,0.7652,0.1510,0.4950,0.4817,0.1539,0.5919,0.5948,0.0004,0.6379,0.6027
10,0.2178,0.7914,0.8148,0.1398,0.5916,0.5420,0.4592,0.6356,0.6953,0.5751,0.6987,0.7681
11,0.7181,0.7934,0.9019,0.5094,0.5967,0.6560,0.5700,0.6204,0.7444,0.7100,0.6803,0.8181
12,0.7791,0.8155,0.9163,0.5443,0.6173,0.6695,0.5593,0.6836,0.7735,0.7153,0.7402,0.8379
13,0.8334,0.8415,0.9325,0.5826,0.6454,0.6998,0.5970,0.7029,0.7857,0.7489,0.7606,0.8497
14,0.8247,0.8395,0.9274,0.5688,0.6471,0.7043,0.4802,0.4509,0.6510,0.6446,0.4909,0.6995
15,0.7692,0.8116,0.9184,0.5499,0.6231,0.6813,0.6085,0.6902,0.7664,0.7576,0.7376,0.8229
16,0.8566,0.8532,0.9364,0.6041,0.6660,0.7229,0.6258,0.7057,0.7880,0.7647,0.7688,0.8562
17,0.7982,0.8217,0.9218,0.5458,0.6259,0.6900,0.5655,0.6780,0.7621,0.6537,0.7322,0.8295
18,0.8053,0.8245,0.9251,0.5663,0.6273,0.6927,0.6151,0.6478,0.7790,0.7223,0.7097,0.8562
19,0.8652,0.8505,0.9376,0.6037,0.6575,0.7278,0.6288,0.6945,0.8009,0.7573,0.7515,0.8645
20,0.8754,0.8627,0.9421,0.5973,0.6634,0.7351,0.6147,0.7141,0.8012,0.7363,0.7714,0.8663
21,0.8971,0.8718,0.9473,0.6076,0.6711,0.7481,0.6117,0.7069,0.8180,0.7611,0.7674,0.8791
22,0.7546,0.7748,0.8999,0.5135,0.5854,0.6802,0.5622,0.6316,0.7502,0.7257,0.6887,0.8159
23,0.8036,0.8307,0.9382,0.5738,0.6365,0.7139,0.6184,0.6493,0.7791,0.7316,0.7230,0.8528
24,0.8277,0.8420,0.9372,0.5749,0.6478,0.7185,0.5846,0.6845,0.7976,0.7009,0.7543,0.8675
25,0.8372,0.8474,0.9373,0.5720,0.6537,0.7358,0.5864,0.7080,0.7992,0.6889,0.7772,0.8762
26,0.8906,0.8720,0.9493,0.6137,0.6775,0.7560,0.6302,0.7125,0.8106,0.7616,0.7821,0.8896
27,0.8770,0.8719,0.9492,0.6066,0.6764,0.7583,0.6608,0.6926,0.8053,0.7962,0.7617,0.8761
28,0.8263,0.8485,0.9406,0.5817,0.6512,0.7446,0.5910,0.6593,0.7605,0.7441,0.7275,0.8451
