epoch,train_dice_1,train_dice_2,train_dice_3,train_unlab_dice_1,train_unlab_dice_2,train_unlab_dice_3,val_dice_1,val_dice_2,val_dice_3,val_batch_dice_1,val_batch_dice_2,val_batch_dice_3
0,0.1426,0.0305,0.0348,0.1393,0.0332,0.0367,0.1668,0.0307,0.0482,0.0002,0.0000,0.0000
1,0.1469,0.0342,0.0442,0.1502,0.0417,0.0500,0.1886,0.0307,0.0482,0.0000,0.0000,0.0000
2,0.1593,0.0467,0.0558,0.1510,0.0417,0.0508,0.1886,0.0307,0.0482,0.0000,0.0000,0.0000
3,0.1668,0.0425,0.0475,0.1551,0.0367,0.0475,0.1887,0.0307,0.0482,0.0002,0.0000,0.0000
4,0.1394,0.0400,0.0483,0.1552,0.0425,0.0508,0.1713,0.0307,0.0482,0.0003,0.0000,0.0000
5,0.1611,0.0367,0.0458,0.1630,0.0367,0.0450,0.2924,0.0307,0.0482,0.3730,0.0000,0.0000
6,0.3309,0.0384,0.0492,0.3384,0.0375,0.0458,0.2204,0.0307,0.0482,0.2602,0.0000,0.0000
7,0.3605,0.0394,0.0422,0.3561,0.0396,0.0448,0.3344,0.0290,0.0482,0.4031,0.0080,0.0000
8,0.3940,0.3493,0.0429,0.3896,0.3440,0.0435,0.3842,0.6319,0.0195,0.4846,0.6716,0.0018
9,0.4236,0.6973,0.1282,0.4303,0.6932,0.1259,0.4450,0.7074,0.2773,0.5839,0.7556,0.2983
10,0.6044,0.6622,0.6541,0.5974,0.6566,0.6482,0.6396,0.6674,0.7215,0.7977,0.7124,0.7704
11,0.6930,0.7359,0.7966,0.6892,0.7301,0.7920,0.6307,0.7072,0.8023,0.7752,0.7639,0.8714
12,0.6888,0.7428,0.8140,0.6827,0.7488,0.8278,0.5479,0.7126,0.7927,0.6693,0.7782,0.8618
13,0.7048,0.7586,0.8348,0.7089,0.7657,0.8344,0.6670,0.7569,0.8457,0.8017,0.8069,0.9007
14,0.7262,0.7764,0.8486,0.7240,0.7752,0.8382,0.6363,0.7475,0.8495,0.7666,0.8029,0.9070
15,0.7153,0.7669,0.8392,0.7215,0.7718,0.8433,0.6419,0.7556,0.8454,0.8027,0.8123,0.9082
16,0.7263,0.7793,0.8535,0.7368,0.7808,0.8562,0.6093,0.7516,0.8113,0.7571,0.8017,0.8679
17,0.7181,0.7671,0.8462,0.7259,0.7725,0.8468,0.6892,0.7170,0.8334,0.8032,0.7548,0.8854
18,0.7473,0.7819,0.8633,0.7604,0.7943,0.8650,0.7090,0.7852,0.8522,0.8427,0.8291,0.9025
19,0.7688,0.7994,0.8710,0.7769,0.7973,0.8659,0.7327,0.7913,0.8731,0.8536,0.8383,0.9149
20,0.7551,0.7993,0.8722,0.7635,0.7941,0.8698,0.6547,0.7619,0.8066,0.8172,0.8011,0.8625
21,0.7449,0.7947,0.8662,0.7597,0.7960,0.8706,0.7108,0.7853,0.8531,0.8418,0.8279,0.9008
22,0.7579,0.8015,0.8702,0.7703,0.8092,0.8778,0.7406,0.7891,0.8605,0.8444,0.8237,0.9055
23,0.7752,0.8146,0.8792,0.7785,0.8101,0.8804,0.7140,0.7719,0.8636,0.8480,0.8182,0.9167
