epoch,train_dice_1,train_dice_2,train_dice_3,train_unlab_dice_1,train_unlab_dice_2,train_unlab_dice_3,val_dice_1,val_dice_2,val_dice_3,val_batch_dice_1,val_batch_dice_2,val_batch_dice_3
0,0.1013,0.0146,0.0661,0.1172,0.0339,0.0516,0.1886,0.0307,0.0513,0.0000,0.0000,0.0245
1,0.1567,0.0117,0.2233,0.1758,0.0442,0.1566,0.1886,0.0307,0.3392,0.0000,0.0000,0.3722
2,0.1533,0.0091,0.5716,0.1825,0.0419,0.3575,0.1800,0.0162,0.5604,0.0001,0.0035,0.6055
3,0.1444,0.0125,0.8189,0.1609,0.0462,0.5098,0.1274,0.0307,0.5361,0.0002,0.0000,0.5788
4,0.1506,0.0118,0.8264,0.1065,0.0459,0.5220,0.2883,0.0223,0.6409,0.3802,0.0004,0.6656
5,0.4413,0.0318,0.8019,0.2892,0.0264,0.5097,0.3808,0.0514,0.5803,0.5085,0.0417,0.6059
6,0.5833,0.2267,0.7869,0.3910,0.1401,0.5032,0.4838,0.2354,0.6236,0.6537,0.2447,0.6579
7,0.6604,0.5875,0.8540,0.4506,0.3942,0.5847,0.5381,0.6179,0.7636,0.7075,0.6563,0.8059
8,0.7415,0.7638,0.9024,0.4874,0.5416,0.6505,0.4936,0.5958,0.7400,0.6908,0.6276,0.7876
9,0.7258,0.7748,0.9084,0.4662,0.5352,0.6542,0.4639,0.5174,0.6917,0.6067,0.5454,0.7433
10,0.7488,0.7996,0.9212,0.5143,0.5720,0.6843,0.5362,0.6096,0.7580,0.6920,0.6381,0.8033
11,0.7711,0.8096,0.9243,0.5156,0.5934,0.6996,0.6038,0.7065,0.8144,0.7262,0.7464,0.8563
12,0.8404,0.8460,0.9398,0.5532,0.6241,0.7091,0.6037,0.7118,0.8124,0.7080,0.7531,0.8575
13,0.8418,0.8476,0.9409,0.5288,0.6125,0.6971,0.5395,0.5540,0.7253,0.6102,0.5875,0.7626
14,0.7607,0.7964,0.9239,0.5046,0.5799,0.6788,0.6125,0.6760,0.7989,0.7095,0.7114,0.8390
15,0.8455,0.8450,0.9399,0.5518,0.6224,0.7146,0.5832,0.7175,0.8129,0.6954,0.7629,0.8714
16,0.8588,0.8508,0.9410,0.5533,0.6272,0.7133,0.5173,0.6715,0.7790,0.6869,0.7065,0.8530
17,0.7830,0.8135,0.9270,0.5050,0.6027,0.6954,0.6221,0.7245,0.8090,0.7273,0.7653,0.8709
18,0.8613,0.8526,0.9421,0.5823,0.6350,0.7241,0.6168,0.6602,0.7792,0.7254,0.7069,0.8338
19,0.7990,0.8155,0.9272,0.5466,0.6111,0.7104,0.5682,0.6032,0.7394,0.7044,0.6514,0.7944
20,0.8331,0.8427,0.9420,0.5796,0.6333,0.7286,0.6190,0.6847,0.8031,0.7144,0.7268,0.8588
21,0.8843,0.8612,0.9468,0.5982,0.6485,0.7396,0.6236,0.7133,0.8139,0.7418,0.7598,0.8715
22,0.8332,0.8261,0.9294,0.5491,0.6159,0.7160,0.5833,0.6707,0.7921,0.7271,0.7082,0.8290
23,0.8319,0.8414,0.9380,0.5831,0.6380,0.7281,0.6431,0.7284,0.8252,0.7553,0.7694,0.8806
24,0.8924,0.8672,0.9490,0.6171,0.6638,0.7515,0.6505,0.7220,0.8327,0.7508,0.7640,0.8816
25,0.8992,0.8720,0.9500,0.6301,0.6654,0.7504,0.6195,0.7321,0.8210,0.7347,0.7856,0.8908
26,0.7829,0.8097,0.9267,0.5439,0.6129,0.7124,0.6280,0.6167,0.7644,0.7390,0.6670,0.8240
27,0.8664,0.8558,0.9453,0.6263,0.6603,0.7467,0.6389,0.7019,0.8165,0.7513,0.7642,0.8814
28,0.9046,0.8693,0.9487,0.6301,0.6765,0.7606,0.6538,0.7076,0.8215,0.7821,0.7601,0.8782
29,0.8899,0.8681,0.9473,0.6415,0.6835,0.7732,0.6236,0.7054,0.8194,0.7646,0.7669,0.8784
30,0.8353,0.8432,0.9419,0.5913,0.6638,0.7506,0.6033,0.6726,0.8174,0.7230,0.7173,0.8807
31,0.8969,0.8672,0.9488,0.6281,0.6771,0.7626,0.6740,0.7067,0.8148,0.7793,0.7567,0.8682
32,0.9121,0.8741,0.9511,0.6492,0.6882,0.7764,0.6612,0.7369,0.8400,0.7969,0.7889,0.8953
33,0.9093,0.8749,0.9514,0.6525,0.6879,0.7757,0.5677,0.7390,0.8311,0.6519,0.7877,0.8866
34,0.8123,0.8190,0.9268,0.5880,0.6328,0.7217,0.6141,0.6903,0.7960,0.7427,0.7265,0.8417
35,0.8427,0.8333,0.9369,0.6090,0.6602,0.7416,0.6545,0.7069,0.8156,0.7603,0.7645,0.8791
36,0.8970,0.8669,0.9503,0.6630,0.6992,0.7804,0.6770,0.7397,0.8424,0.7756,0.7973,0.9050
37,0.9031,0.8749,0.9511,0.6513,0.6957,0.7774,0.6759,0.7538,0.8351,0.7872,0.8062,0.8970
38,0.8933,0.8771,0.9517,0.6639,0.6940,0.7771,0.6659,0.7235,0.8249,0.8017,0.7786,0.8819
39,0.8516,0.8460,0.9418,0.6172,0.6784,0.7734,0.6412,0.7106,0.8227,0.7359,0.7684,0.8931
40,0.9052,0.8757,0.9526,0.6721,0.6996,0.7845,0.6713,0.7009,0.8145,0.7839,0.7616,0.8791
41,0.9050,0.8761,0.9521,0.6747,0.7021,0.7848,0.6337,0.7160,0.8166,0.7400,0.7730,0.8780
42,0.8014,0.8221,0.9306,0.5883,0.6500,0.7434,0.6700,0.7154,0.8212,0.7661,0.7638,0.8724
43,0.8906,0.8666,0.9493,0.6505,0.6922,0.7753,0.6779,0.7238,0.8330,0.8003,0.7662,0.8817
44,0.8965,0.8785,0.9526,0.6657,0.7054,0.7872,0.6816,0.7413,0.8406,0.8054,0.7882,0.8928
45,0.9129,0.8848,0.9548,0.6710,0.7110,0.7869,0.6573,0.7465,0.8361,0.8027,0.8048,0.9001
46,0.9084,0.8822,0.9556,0.6741,0.7143,0.7979,0.6413,0.7557,0.8367,0.7902,0.8053,0.8960
47,0.7887,0.8125,0.9228,0.6032,0.6613,0.7557,0.6545,0.7145,0.8333,0.8007,0.7751,0.8944
48,0.8802,0.8696,0.9517,0.6547,0.6949,0.7741,0.6795,0.7220,0.8218,0.8013,0.7776,0.8847
49,0.9044,0.8826,0.9565,0.6677,0.6993,0.7828,0.6738,0.7569,0.8391,0.7991,0.8140,0.8994
50,0.8560,0.8509,0.9410,0.6498,0.6930,0.7760,0.5848,0.7203,0.8299,0.6327,0.7780,0.8940
51,0.8750,0.8714,0.9536,0.6633,0.7057,0.7866,0.6728,0.7437,0.8468,0.8112,0.7951,0.9032
52,0.9123,0.8870,0.9589,0.6898,0.7060,0.7869,0.6728,0.7521,0.8350,0.8043,0.8041,0.8956
53,0.9112,0.8907,0.9584,0.6831,0.7194,0.8011,0.6723,0.7659,0.8484,0.8027,0.8110,0.9044
54,0.9094,0.8924,0.9597,0.6818,0.7243,0.8003,0.6694,0.7626,0.8464,0.8017,0.8136,0.9072
55,0.8135,0.8491,0.9422,0.6208,0.6774,0.7655,0.4881,0.5863,0.7780,0.5678,0.6422,0.8507
56,0.8667,0.8670,0.9544,0.6394,0.6971,0.7744,0.6686,0.7274,0.8200,0.7987,0.7952,0.8928
57,0.9028,0.8887,0.9579,0.6713,0.7134,0.7904,0.6519,0.7275,0.8248,0.8033,0.7945,0.8884
58,0.9090,0.8936,0.9594,0.6746,0.7107,0.7874,0.6643,0.7362,0.8342,0.7875,0.8068,0.9071
59,0.8298,0.8537,0.9474,0.6340,0.6786,0.7687,0.6687,0.7371,0.8406,0.7957,0.7900,0.9002
60,0.9101,0.8913,0.9596,0.6863,0.7166,0.7986,0.6525,0.7066,0.8224,0.7823,0.7628,0.8837
61,0.9168,0.8961,0.9613,0.6851,0.7188,0.7975,0.6475,0.7269,0.8300,0.7733,0.7698,0.8792
62,0.8321,0.8526,0.9422,0.6293,0.6840,0.7766,0.6779,0.7334,0.8363,0.7901,0.7836,0.8919
63,0.8936,0.8858,0.9568,0.6702,0.7163,0.7983,0.6549,0.7528,0.8415,0.7794,0.8022,0.8986
64,0.9114,0.8954,0.9613,0.6922,0.7214,0.8011,0.6524,0.7328,0.8309,0.7869,0.7867,0.8909
65,0.9061,0.8967,0.9619,0.6811,0.7183,0.8024,0.6375,0.7595,0.8351,0.7702,0.8143,0.9030
66,0.8876,0.8882,0.9565,0.6706,0.7156,0.7970,0.6354,0.7383,0.8291,0.7744,0.7851,0.8960
67,0.8241,0.8497,0.9425,0.6308,0.6884,0.7742,0.6787,0.7451,0.8305,0.8078,0.8082,0.9054
